XA-AAAT|xx 
XA-AD|an 
XA-AL|aa 
XA-AT|au 
XA-AX|fi 
XA-BA|bn 
XA-BE|be 
XA-BG|bu 
XA-BY|bw 
XA-CH|sz 
XA-CSHH|cs 
XA-CY|cy 
XA-CZ|xr 
XA-DDDE|gw 
XA-DE|gw 
XA-DK|dk 
XA-DXDE|xx 
XA-EE|er 
XA-ES|sp 
XA-FI|fi 
XA-FR|fr 
XA-GB|xxk
XA-GG|uik
XA-GI|gi 
XA-GR|gr 
XA-HR|ci 
XA-HU|hu 
XA-IE|ie 
XA-IM|uik
XA-IS|ic 
XA-IT|it 
XA-JE|uik
XA-LI|lh 
XA-LT|li 
XA-LU|lu 
XA-LV|lv 
XA-MC|mc 
XA-MD|mv 
XA-ME|mo 
XA-MK|xn 
XA-MT|mm 
XA-NL|ne 
XA-NO|no 
XA-PL|pl 
XA-PT|po 
XA-RO|rm 
XA-RS|rb 
XA-RU|ru 
XA-SE|sw 
XA-SI|xv 
XA-SK|xo 
XA-SM|sm 
XA-SP|xx 
XA-SUHH|xxr
XA-UA|un 
XA-VA|vc 
XA-YUCS|xx 
XB-AE|ts 
XB-AF|af 
XB-AM|ai 
XB-AZ|aj 
XB-BD|bg 
XB-BH|ba 
XB-BN|bx 
XB-BT|bt 
XB-CN|cc 
XB-GE|gs 
XB-HK|cc 
XB-ID|io 
XB-IL|is 
XB-IN|ii 
XB-IQ|iq 
XB-IR|ir 
XB-JO|jo 
XB-JP|ja 
XB-KG|kg 
XB-KH|cb 
XB-KP|kn 
XB-KR|ko 
XB-KW|ku 
XB-KZ|kz 
XB-LA|ls 
XB-LB|le 
XB-LK|ce 
XB-MM|br 
XB-MN|mp 
XB-MO|cc 
XB-MV|xc 
XB-MY|my 
XB-NP|np 
XB-OM|mk 
XB-PH|ph 
XB-PK|pk 
XB-QA|qa 
XB-SA|su 
XB-SG|si 
XB-SY|sy 
XB-TH|th 
XB-TJ|ta 
XB-TL|em 
XB-TM|tk 
XB-TR|tu 
XB-TW|ch 
XB-UZ|uz 
XB-VN|vm 
XB-YE|ye 
XC-AO|ao 
XC-BF|uv 
XC-BI|bd 
XC-BJ|dm 
XC-BW|bs 
XC-CD|cg 
XC-CF|cx 
XC-CG|cf 
XC-CI|iv 
XC-CM|cm 
XC-CV|cv 
XC-DJ|ft 
XC-DZ|ae 
XC-EG|ua 
XC-EH|ss 
XC-ER|ea 
XC-ET|et 
XC-GA|go 
XC-GH|gh 
XC-GM|gm 
XC-GN|gv 
XC-GQ|eg 
XC-GW|pg 
XC-KE|ke 
XC-KM|cq 
XC-LR|lb 
XC-LS|lo 
XC-LY|ly 
XC-MA|mr 
XC-MG|mg 
XC-ML|ml 
XC-MR|mu 
XC-MU|mf 
XC-MW|mw 
XC-MZ|mz 
XC-NA|sx 
XC-NE|ng 
XC-NG|nr 
XC-RW|rw 
XC-SC|se 
XC-SD|xx 
XC-SL|sl 
XC-SN|sg 
XC-SO|so 
XC-ST|sf 
XC-SZ|sq 
XC-TD|cd 
XC-TG|tg 
XC-TN|ti 
XC-TZ|tz 
XC-UG|ug 
XC-YT|ot 
XC-ZA|sa 
XC-ZM|za 
XC-ZRCD|cg 
XC-ZW|rh 
XD-AG|aq 
XD-AI|am 
XD-AN|ca 
XD-AR|ag 
XD-AS|as 
XD-AW|aw 
XD-BB|bb 
XD-BL|sc 
XD-BM|bm 
XD-BO|bo 
XD-BR|bl 
XD-BS|bf 
XD-BZ|bh 
XD-CA|xxc
XD-CL|cl 
XD-CO|ck 
XD-CR|cr 
XD-CU|cu 
XD-DM|dq 
XD-DO|dr 
XD-EC|ec 
XD-GD|gd 
XD-GF|fg 
XD-GP|gp 
XD-GT|gt 
XD-GY|gy 
XD-HN|ho 
XD-HT|ht 
XD-JM|jm 
XD-KN|xd 
XD-KY|cj 
XD-LC|xk 
XD-MF|st 
XD-MQ|mq 
XD-MS|mj 
XD-MX|mx 
XD-NI|nq 
XD-PA|pn 
XD-PE|pe 
XD-PM|xl 
XD-PR|pr 
XD-PY|py 
XD-SR|sr 
XD-SV|es 
XD-TC|tc 
XD-TT|tr 
XD-US|xxu
XD-UY|uy 
XD-VC|xm 
XD-VE|ve 
XD-VG|vb 
XD-VI|vi 
XE-AU|at 
XE-CC|xb 
XE-CK|cw 
XE-CX|xa 
XE-FJ|fj 
XE-FM|fm 
XE-GU|gu 
XE-KI|gb 
XE-MH|xe 
XE-MP|nw 
XE-NC|nl 
XE-NF|nx 
XE-NR|nu 
XE-NZ|nz 
XE-PF|fp 
XE-PG|pp 
XE-PW|pw 
XE-SB|bp 
XE-TK|tl 
XE-TO|to 
XE-TV|tv 
XE-VU|nn 
XE-WF|wf 
XE-WS|ws 
XI-AQ|ay 
XI-HM|hm 
XK-BV|bv 
XK-FK|fk 
XK-FO|fa 
XK-GL|gl 
XK-GS|xs 
XK-SH|xj 
XK-SJ|no 
XL-IO|bi 
XL-RE|re 
XL-TF|fs 
XM-NU|xh 
XM-PN|pc 
XM-UM|up 
